"ID","Name","Owner","People","Open deals","Organization created","Update time","Visible to","Next activity date","Last activity date","Won deals","Lost deals","Closed deals","Total activities","Done activities","Activities to do","Email messages count","Profile picture","Address","Latitude of Address","Longitude of Address","Apartment/suite no of Address","House number of Address","Street/road name of Address","District/sublocality of Address","City/town/village/locality of Address","State/county of Address","Region of Address","Country of Address","ZIP/Postal code of Address","Full/combined address of Address","Label","Labels","Website","LinkedIn profile","Industry","Annual revenue","Number of employees","Doors"
"34","Greystar","David Thomson","1","1","2017-01-03 17:26:27","2023-12-08 09:28:46","All users","","2017-02-23","0","0","0","3","3","0","12","","","","","","","","","","","","","","","","","","","","","",""
"35","Greystar","David Thomson","1","0","2017-01-03 17:31:22","2017-01-03 17:31:22","All users","","","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","",""
"36","Broe Group","Bill Douglas","3","1","2017-01-03 17:41:52","2025-10-30 22:41:47","All users","2017-02-01","2017-01-03","0","1","1","3","1","2","38","","","","","","","","","","","","","","","","","https://broerealestate.com/","","","","",""
"37","Western Development","David Thomson","1","0","2017-01-03 17:45:57","2023-12-08 09:28:46","All users","2017-01-10","2017-01-05","0","0","0","2","1","1","7","","","","","","","","","","","","","","","","","","","","","",""
"38","Forum RE","David Thomson","2","0","2017-01-03 17:46:47","2023-12-08 09:29:00","All users","","2017-02-02","0","2","2","3","3","0","31","","Glendale, CO, United States","","","","","","","Glendale","Colorado","Arapahoe County","United States","80246","Glendale, CO 80246, USA","","","","","","","",""
"39","Hunt Companies","David Thomson","1","0","2017-01-03 17:55:15","2017-01-03 21:45:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"40","AIMCO","David Thomson","1","0","2017-01-03 17:55:58","2017-01-03 17:55:58","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"41","JP Morgan","David Thomson","3","0","2017-01-03 17:57:26","2020-05-21 18:50:05","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"42","Balfour","David Thomson","1","0","2017-01-03 17:58:28","2017-01-03 17:58:29","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"44","Newmark Grubb","David Thomson","1","0","2017-01-03 18:01:45","2017-01-31 21:05:41","All users","2017-01-18","2017-01-09","0","0","0","2","1","1","0","","","","","","","","","","","","","","","","","","","","","",""
"45","University of Denver","Bill Douglas","3","0","2017-01-03 18:07:12","2023-12-08 09:28:59","All users","","","0","0","0","0","0","0","25","","","","","","","","","","","","","","","","","","","","","",""
"46","Boulder Valley School Board CIO","David Thomson","1","0","2017-01-03 18:09:50","2023-12-08 09:28:46","All users","","","0","0","0","0","0","0","4","","","","","","","","","","","","","","","","","","","","","",""
"47","Tishman Hotel","David Thomson","1","0","2017-01-03 18:15:43","2017-01-03 18:15:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"48","Alberta Development","David Thomson","1","0","2017-01-03 18:16:47","2023-12-08 09:28:46","All users","","","0","0","0","0","0","0","14","","","","","","","","","","","","","","","","","","","","","",""
"49","John Madden Companies","David Thomson","1","0","2017-01-03 18:27:16","2023-12-08 09:28:46","All users","2017-01-31","2017-01-11","0","0","0","4","3","1","2","","","","","","","","","","","","","","","","","","","","","",""
"50","Fentress Architects","David Thomson","1","0","2017-01-03 18:30:25","2017-01-03 18:30:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"51","Tryba Architects","David Thomson","1","0","2017-01-03 18:31:03","2017-01-03 18:31:03","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"52","4240 Architects","David Thomson","1","0","2017-01-03 18:35:15","2017-01-03 18:35:16","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"53","Harrison Street REIT - Grove Student Housing","David Thomson","1","0","2017-01-03 19:18:42","2017-01-03 19:25:49","All users","2017-01-03","","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","","",""
"54","Jasper's Restaurant","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:48:51","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"55","Microsoft","Bill Douglas","14","0","2017-01-03 19:47:48","2020-05-21 18:50:23","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"56","Reperio Human Capital","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:50:26","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"57","Chalhoub Group","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"58","Valassis","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:49:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"59","CNET Channel","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"60","Purpose Media International","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"61","Intertrade","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:49:21","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"62","eConsulting","Bill Douglas","2","0","2017-01-03 19:47:48","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"63","Self Employed","Bill Douglas","8","0","2017-01-03 19:47:49","2020-05-21 18:50:05","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"64","Tech USA","Bill Douglas","18","0","2017-01-03 19:47:49","2020-05-21 18:50:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"65","Exponential Programs","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:31","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"66","eBay","Bill Douglas","1","0","2017-01-03 19:47:49","2017-01-03 19:47:59","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"67","Matchworkers International","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:32","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"68","Independant","Bill Douglas","5","0","2017-01-03 19:47:49","2020-05-21 18:49:51","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"69","Fieldglass","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:48:46","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"70","Sandlot Capital","Bill Douglas","1","0","2017-01-03 19:47:49","2017-01-03 19:47:59","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"71","RioLabs","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:32","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"72","Peterson Co.","Bill Douglas","4","0","2017-01-03 19:47:49","2020-05-21 18:50:26","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"73","Salesify","Bill Douglas","15","0","2017-01-03 19:47:49","2020-05-21 18:50:30","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"74","Tampa Bay CFO","Bill Douglas","1","0","2017-01-03 19:47:49","2017-01-03 19:48:00","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"75","Mediakite","Bill Douglas","1","0","2017-01-03 19:47:49","2017-01-03 19:48:01","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"76","Organic Spread","Bill Douglas","3","0","2017-01-03 19:47:49","2020-05-21 18:50:27","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"77","Eyeris Inc.","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:04","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"78","Jordy Construction","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:50:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"79","Global Recruiting Networks","Bill Douglas","1","0","2017-01-03 19:47:49","2017-01-03 19:48:01","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"80","Duffy Crane","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"81","Vermillion Group","Bill Douglas","7","0","2017-01-03 19:47:49","2020-05-21 18:50:06","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"82","L&E Mobile","Bill Douglas","1","0","2017-01-03 19:47:49","2017-01-03 19:48:03","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"83","Landmark Recruiting","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:24","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"84","CentricsIT","Bill Douglas","8","0","2017-01-03 19:47:49","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"85","ERIKS USA","Bill Douglas","3","0","2017-01-03 19:47:49","2020-05-21 18:50:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"86","Comsys","Bill Douglas","3","0","2017-01-03 19:47:49","2020-05-21 18:49:32","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"87","Konsensus","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"88","Competent Interim Project Management","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"89","CNC Industries Ltd.","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:32","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"90","Waters Edge Church","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"91","Western United Electric Supply","Bill Douglas","6","0","2017-01-03 19:47:49","2020-05-21 18:50:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"92","Ping Identity","Bill Douglas","9","0","2017-01-03 19:47:49","2025-11-07 18:31:12","All users","","","0","0","0","0","0","0","121","","","","","","","","","","","","","","","","","","","","","",""
"93","Atmos Energy","Bill Douglas","20","0","2017-01-03 19:47:49","2020-05-21 18:50:26","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"94","Peerless Blowers","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:50","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"95","Avanade","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"96","Cisco Systems","Bill Douglas","8","0","2017-01-03 19:47:49","2020-05-21 18:50:20","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"97","The Jacobs Company","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:20","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"98","ALM","Bill Douglas","2","0","2017-01-03 19:47:49","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"99","ISS","Bill Douglas","12","0","2017-01-03 19:47:49","2020-05-21 18:50:29","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"100","U.S. House of Representives","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:09","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"101","devgo S.R.L.","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:32","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"102","V-Line","Bill Douglas","4","0","2017-01-03 19:47:50","2020-05-21 18:50:29","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"103","Creative Solutions","Bill Douglas","1","0","2017-01-03 19:47:50","2017-01-03 19:48:10","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"104","Clayton Engineering","Bill Douglas","0","0","2017-01-03 19:47:50","2018-09-30 19:05:07","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"105","Unified Compliance Framework","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:31","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"106","BountyJobs","Bill Douglas","5","0","2017-01-03 19:47:50","2020-05-21 18:50:13","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"107",".","Bill Douglas","3","0","2017-01-03 19:47:50","2020-05-21 18:49:24","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"108","TalentHook","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:32","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"109","Evoke Research and Consulting, LLC","Bill Douglas","1","0","2017-01-03 19:47:50","2017-01-03 19:48:11","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"110","NAI Kowallis and Mackey","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"111","Westwood College","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"112","Motion Industries","Bill Douglas","5","0","2017-01-03 19:47:50","2020-05-21 18:50:28","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"113","Brand Juice","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"114","Genesis 10","Bill Douglas","4","0","2017-01-03 19:47:50","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"115","Junction Consulting","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:48:49","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"116","ORS Nasco","Bill Douglas","7","0","2017-01-03 19:47:50","2020-05-21 18:50:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"117","BridgeView IT","Bill Douglas","7","0","2017-01-03 19:47:50","2020-05-21 18:50:02","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"118","HWW SOLUTIONS LLC","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:09","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"119","Varitel Services","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:50:26","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"120","Salt Lake City Corporation","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:48:47","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"121","Intracom Telecom","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"122","Akirasoft Solutions","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"123","Joslyn HV","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:50:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"124","Rare Space","Bill Douglas","0","0","2017-01-03 19:47:50","2018-09-24 18:00:23","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"125","Ambrosia Consultants","Bill Douglas","6","0","2017-01-03 19:47:50","2020-05-21 18:49:46","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"126","Blue Skies Consultancy Group ( Hospitality)","Bill Douglas","0","0","2017-01-03 19:47:50","2017-03-01 18:27:53","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"127","Romagna Trading Corporation","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:47:00","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"128","The Verticom Group","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:29","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"129","Mitchell Martin","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"130","Connecting People with Success, LLC","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"131","Global Response Fulfillment","Bill Douglas","2","0","2017-01-03 19:47:50","2020-05-21 18:48:49","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"132","Randstad Education Group","Bill Douglas","1","0","2017-01-03 19:47:50","2017-01-03 19:48:29","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"133","ISEIG","Bill Douglas","1","0","2017-01-03 19:47:50","2017-01-03 19:48:16","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"134","American Prudential Capital, Inc.","Bill Douglas","8","0","2017-01-03 19:47:51","2020-05-21 18:50:14","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"135","IBM","Bill Douglas","16","0","2017-01-03 19:47:51","2020-05-21 18:50:19","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"136","Consultant","Bill Douglas","6","0","2017-01-03 19:47:51","2020-05-21 18:49:43","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"137","MPC Computers","Bill Douglas","3","0","2017-01-03 19:47:51","2020-05-21 18:49:21","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"138","Provide","Bill Douglas","33","0","2017-01-03 19:47:51","2020-05-21 18:50:26","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"139","IONX Active Systems","Bill Douglas","1","0","2017-01-03 19:47:51","2017-01-03 19:48:24","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"140","R&R Partners","Bill Douglas","0","0","2017-01-03 19:47:51","2018-04-20 17:06:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"141","MDSNe","Bill Douglas","1","0","2017-01-03 19:47:51","2017-01-03 19:48:31","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"142","Completel","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"143","BrainWorks Ventures","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:49:50","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"144","MRO Software","Bill Douglas","11","0","2017-01-03 19:47:51","2020-05-21 18:50:20","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"145","JumpStart  Inc.","Bill Douglas","1","0","2017-01-03 19:47:51","2017-01-03 19:47:58","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"146","Network Solutions","Bill Douglas","1","0","2017-01-03 19:47:51","2017-01-03 19:48:26","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"147","Top Tier Talent and Training","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:49:34","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"148","AceTrade Market","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"149","IBM Global Business Services","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:49:08","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"150","Cisco","Bill Douglas","4","0","2017-01-03 19:47:51","2020-05-21 18:49:10","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"151","Level 3 Communications","Bill Douglas","4","0","2017-01-03 19:47:51","2020-05-21 18:50:07","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"152","Parker Giles Search & Selection","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"153","Kristel Displays","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:48:42","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"154","Lester Ingber Research (LIR)","Bill Douglas","2","0","2017-01-03 19:47:51","2023-12-08 09:28:46","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"155","Royal Journeys","Bill Douglas","2","0","2017-01-03 19:47:51","2020-05-21 18:49:33","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
